transcripts	A	T/U	C	G	GC	total	GC%
YOL045W_mRNA	1128	959	580	639	1219	3306	0.3687235329703569
YML019W_mRNA	288	335	185	191	376	999	0.3763763763763764
YNL243W_mRNA	887	696	648	676	1324	2907	0.45545235638114895
YDL204W_mRNA	391	293	260	238	498	1182	0.4213197969543147
YOR275C_mRNA	727	526	370	363	733	1986	0.3690835850956697
YLR029C_mRNA	211	138	122	144	266	615	0.432520325203252
YKL208W_mRNA	263	208	167	178	345	816	0.4227941176470588
YLR227C_mRNA	531	456	236	259	495	1482	0.3340080971659919
YHR100C_mRNA	174	161	116	107	223	558	0.3996415770609319
YDR415C_mRNA	352	318	215	240	455	1125	0.40444444444444444
YBR300C_mRNA	138	153	115	92	207	498	0.41566265060240964
YCR102W-A_mRNA	64	64	26	44	70	198	0.35353535353535354
YMR028W_mRNA	407	286	182	226	408	1101	0.37057220708446864
YER164W_mRNA	1563	1099	791	954	1745	4407	0.39596097118221013
YIL068C_mRNA	861	686	377	494	871	2418	0.3602150537634409
YMR272C_mRNA	302	362	240	251	491	1155	0.4251082251082251
YER073W_mRNA	448	438	313	364	677	1563	0.4331413947536788
YGR172C_mRNA	190	275	148	134	282	747	0.37751004016064255
YBR175W_mRNA	262	282	185	219	404	948	0.42616033755274263
YLR398C_mRNA	1318	1065	644	837	1481	3864	0.3832815734989648
YPR165W_mRNA	200	171	109	150	259	630	0.4111111111111111
YBL010C_mRNA	305	217	142	179	321	843	0.3807829181494662
YBR126W-A_mRNA	60	44	54	49	103	207	0.4975845410628019
YMR043W_mRNA	315	145	224	177	401	861	0.4657375145180023
YNL223W_mRNA	464	436	229	356	585	1485	0.3939393939393939
YDL044C_mRNA	498	333	213	279	492	1323	0.37188208616780044
YIL072W_mRNA	631	504	338	345	683	1818	0.3756875687568757
YMR282C_mRNA	586	511	285	361	646	1743	0.37062535857716583
YOR199W_mRNA	115	102	52	61	113	330	0.3424242424242424
YDR175C_mRNA	322	260	164	214	378	960	0.39375
YOR142W_mRNA	299	277	197	217	414	990	0.41818181818181815
YAL065C_mRNA	115	101	89	82	171	387	0.4418604651162791
YLR201C_mRNA	237	243	163	140	303	783	0.38697318007662834
YOR125C_mRNA	215	185	148	154	302	702	0.4301994301994302
YOR055W_mRNA	94	144	101	96	197	435	0.4528735632183908
YOL055C_mRNA	518	480	309	349	658	1656	0.3973429951690821
YGL041C-B_mRNA	40	80	32	31	63	183	0.3442622950819672
YPR151C_mRNA	220	137	118	146	264	621	0.4251207729468599
YLL060C_mRNA	212	166	157	167	324	702	0.46153846153846156
YKL011C_mRNA	396	296	174	196	370	1062	0.3483992467043315
YDR015C_mRNA	40	94	56	50	106	240	0.44166666666666665
YLR348C_mRNA	237	224	193	243	436	897	0.48606465997770343
YBR058C-A_mRNA	74	84	46	39	85	243	0.3497942386831276
YDR060W_mRNA	1135	795	544	604	1148	3078	0.3729694606887589
YLR345W_mRNA	528	425	268	309	577	1530	0.37712418300653594
YPL120W_mRNA	639	440	295	300	595	1674	0.35543608124253284
YLR052W_mRNA	287	169	158	139	297	753	0.3944223107569721
YOR244W_mRNA	491	358	230	259	489	1338	0.3654708520179372
YJL168C_mRNA	830	537	369	466	835	2202	0.37920072661217075
YHR079C_mRNA	1113	989	592	654	1246	3348	0.37216248506571087
YOR002W_mRNA	430	568	327	310	637	1635	0.38960244648318043
YOR059C_mRNA	450	389	220	294	514	1353	0.37989652623798964
YBR273C_mRNA	442	306	256	307	563	1311	0.429443173150267
YHL047C_mRNA	488	610	345	420	765	1863	0.4106280193236715
YBR245C_mRNA	1201	909	558	722	1280	3390	0.3775811209439528
YOR218C_mRNA	95	147	97	81	178	420	0.4238095238095238
YHR164C_mRNA	1633	1219	787	930	1717	4569	0.37579339023856423
YGR175C_mRNA	411	465	271	344	615	1491	0.4124748490945674
YAL038W_mRNA	417	392	363	331	694	1503	0.46174318030605455
YJR019C_mRNA	265	259	286	240	526	1050	0.5009523809523809
YLR139C_mRNA	618	516	516	282	798	1932	0.41304347826086957
YDR439W_mRNA	410	253	189	192	381	1044	0.3649425287356322
YJR095W_mRNA	290	278	181	220	401	969	0.41382868937048506
YHR138C_mRNA	111	99	60	75	135	345	0.391304347826087
YGR216C_mRNA	554	636	326	314	640	1830	0.34972677595628415
YLR406C-A_mRNA	48	51	34	17	51	150	0.34
YLR259C_mRNA	487	490	304	438	742	1719	0.4316463059918557
YBR257W_mRNA	328	221	132	159	291	840	0.3464285714285714
YGR171C_mRNA	583	492	320	333	653	1728	0.37789351851851855
YCL045C_mRNA	723	680	452	428	880	2283	0.3854577310556286
YOR021C_mRNA	217	175	101	149	250	642	0.3894080996884735
YDR056C_mRNA	208	166	97	147	244	618	0.3948220064724919
YOR007C_mRNA	353	261	184	243	427	1041	0.4101825168107589
YOR003W_mRNA	439	425	243	330	573	1437	0.3987473903966597
YCL046W_mRNA	109	81	49	85	134	324	0.41358024691358025
YBL113W-A_mRNA	112	154	139	78	217	483	0.4492753623188406
YDL194W_mRNA	791	799	504	561	1065	2655	0.4011299435028249
YAL064W-B_mRNA	97	111	70	103	173	381	0.4540682414698163
YHR198C_mRNA	309	278	200	179	379	966	0.39233954451345754
YMR213W_mRNA	662	362	350	399	749	1773	0.4224478285391991
YOR020C_mRNA	90	93	62	76	138	321	0.42990654205607476
YER093C_mRNA	1525	1164	800	804	1604	4293	0.3736314931283485
YMR019W_mRNA	959	820	528	543	1071	2850	0.3757894736842105
YBR120C_mRNA	195	125	77	92	169	489	0.3456032719836401
YKL110C_mRNA	315	252	200	175	375	942	0.3980891719745223
YJR042W_mRNA	730	662	352	491	843	2235	0.37718120805369126
YNL140C_mRNA	221	111	112	126	238	570	0.41754385964912283
YOL051W_mRNA	1209	685	770	582	1352	3246	0.4165126309303758
YER088C-A_mRNA	104	52	98	70	168	324	0.5185185185185185
YBL005W_mRNA	960	915	544	512	1056	2931	0.3602865916069601
YNR065C_mRNA	1061	984	569	737	1306	3351	0.3897344076395106
YOL021C_mRNA	932	834	577	663	1240	3006	0.4125083166999335
YJL026C-A_mRNA	70	50	49	53	102	222	0.4594594594594595
YML116W-A_mRNA	93	75	68	67	135	303	0.44554455445544555
YBR140C_mRNA	2997	2924	1702	1656	3358	9279	0.3618924453066063
YBL025W_mRNA	157	105	75	101	176	438	0.4018264840182648
YBR284W_mRNA	758	706	464	466	930	2394	0.38847117794486213
YGR247W_mRNA	207	193	141	179	320	720	0.4444444444444444
YPL159C_mRNA	285	187	148	142	290	762	0.3805774278215223
YDR141C_mRNA	1660	1595	877	965	1842	5097	0.3613890523837551
YLR304C_mRNA	685	684	451	517	968	2337	0.41420624732563116
YOR338W_mRNA	367	280	209	236	445	1092	0.4075091575091575
YHR111W_mRNA	424	354	247	298	545	1323	0.41194255479969766
YOR020W-A_mRNA	97	65	47	64	111	273	0.4065934065934066
YPL115C_mRNA	1157	961	666	603	1269	3387	0.3746678476527901
YBR059C_mRNA	1148	837	676	666	1342	3327	0.4033663961526901
YFL046W_mRNA	228	160	100	136	236	624	0.3782051282051282
YPL116W_mRNA	723	542	400	429	829	2094	0.3958930276981853
YGR144W_mRNA	242	302	212	225	437	981	0.4454638124362895
YHL020C_mRNA	395	234	268	318	586	1215	0.4823045267489712
YOR076C_mRNA	828	636	404	376	780	2244	0.34759358288770054
YPR051W_mRNA	175	125	98	133	231	531	0.4350282485875706
YKR032W_mRNA	75	115	63	62	125	315	0.3968253968253968
YEL051W_mRNA	267	204	118	182	300	771	0.38910505836575876
YNL218W_mRNA	623	439	302	400	702	1764	0.3979591836734694
YLR076C_mRNA	114	124	106	79	185	423	0.4373522458628842
YOR041C_mRNA	91	160	105	76	181	432	0.41898148148148145
YLR182W_mRNA	905	604	419	484	903	2412	0.3743781094527363
YNL319W_mRNA	154	145	78	64	142	441	0.3219954648526077
YOL098C_mRNA	1011	938	550	615	1165	3114	0.3741168914579319
YLR390W_mRNA	112	78	83	66	149	339	0.43952802359882004
YML009W-B_mRNA	118	104	94	161	255	477	0.5345911949685535
YNL067W_mRNA	183	156	114	123	237	576	0.4114583333333333
YPR033C_mRNA	499	484	284	374	658	1641	0.40097501523461304
YDR057W_mRNA	587	438	266	338	604	1629	0.3707796193984039
YJL034W_mRNA	628	588	371	462	833	2049	0.406539775500244
YIR029W_mRNA	308	287	167	270	437	1032	0.42344961240310075
YGL132W_mRNA	107	99	66	64	130	336	0.3869047619047619
YPR192W_mRNA	193	256	235	234	469	918	0.5108932461873639
YLR334C_mRNA	113	148	70	50	120	381	0.31496062992125984
YGR205W_mRNA	285	245	161	182	343	873	0.3928980526918671
YKL015W_mRNA	1003	887	506	544	1050	2940	0.35714285714285715
YOL084W_mRNA	822	841	651	662	1313	2976	0.4411962365591398
YPR144C_mRNA	527	495	332	305	637	1659	0.38396624472573837
YOR161C-C_mRNA	39	38	40	30	70	147	0.47619047619047616
YOR063W_mRNA	340	300	240	284	524	1164	0.45017182130584193
YLR030W_mRNA	274	194	143	181	324	792	0.4090909090909091
YGR087C_mRNA	478	459	374	381	755	1692	0.4462174940898345
YAL049C_mRNA	217	214	144	166	310	741	0.4183535762483131
YKR010C_mRNA	853	609	419	435	854	2316	0.3687392055267703
YKL142W_mRNA	228	176	115	141	256	660	0.3878787878787879
YDR504C_mRNA	99	184	53	48	101	384	0.2630208333333333
YOL004W_mRNA	1551	1202	948	910	1858	4611	0.40294946866189546
YBL083C_mRNA	100	131	115	80	195	426	0.45774647887323944
YOR163W_mRNA	199	127	113	128	241	567	0.42504409171075835
YDR269C_mRNA	86	110	80	48	128	324	0.3950617283950617
YDR229W_mRNA	479	304	273	306	579	1362	0.4251101321585903
YML027W_mRNA	375	262	312	209	521	1158	0.44991364421416236
YBR292C_mRNA	120	130	69	53	122	372	0.3279569892473118
YOL040C_mRNA	126	111	95	97	192	429	0.44755244755244755
YEL030C-A_mRNA	90	102	60	63	123	315	0.3904761904761905
YCR075C_mRNA	199	245	159	180	339	783	0.4329501915708812
YGR078C_mRNA	200	127	124	149	273	600	0.455
YDR509W_mRNA	104	131	66	47	113	348	0.32471264367816094
YMR015C_mRNA	479	518	309	311	620	1617	0.383426097711812
YMR320W_mRNA	100	92	59	55	114	306	0.37254901960784315
YKR094C_mRNA	133	99	80	75	155	387	0.4005167958656331
YKR028W_mRNA	1082	834	504	682	1186	3102	0.38233397807865893
YGL226C-A_mRNA	67	96	58	40	98	261	0.37547892720306514
YJR022W_mRNA	129	74	63	64	127	330	0.38484848484848483
YJR003C_mRNA	561	460	266	273	539	1560	0.3455128205128205
YPL150W_mRNA	931	731	480	564	1044	2706	0.3858093126385809
YDR216W_mRNA	1311	1225	719	717	1436	3972	0.36153071500503525
YLR222C-A_mRNA	73	98	34	26	60	231	0.2597402597402597
YMR044W_mRNA	543	314	228	343	571	1428	0.39985994397759106
YMR142C_mRNA	192	143	123	142	265	600	0.44166666666666665
YGR229C_mRNA	555	364	278	321	599	1518	0.3945981554677207
YDR255C_mRNA	466	349	219	232	451	1266	0.35624012638230645
YEL077W-A_mRNA	111	155	138	79	217	483	0.4492753623188406
YIL171W-A_mRNA	115	152	90	96	186	453	0.4105960264900662
YDL127W_mRNA	327	245	200	155	355	927	0.38295577130528585
YHR117W_mRNA	626	501	394	399	793	1920	0.41302083333333334
YJL159W_mRNA	314	322	360	246	606	1242	0.48792270531400966
YPL096W_mRNA	370	301	171	250	421	1092	0.38553113553113555
YDR381C-A_mRNA	130	85	49	81	130	345	0.37681159420289856
YCR040W_mRNA	173	155	98	102	200	528	0.3787878787878788
YOR303W_mRNA	355	358	284	239	523	1236	0.4231391585760518
YGL165C_mRNA	147	187	119	126	245	579	0.4231433506044905
YLR145W_mRNA	228	148	83	147	230	606	0.3795379537953795
YNL293W_mRNA	624	507	335	436	771	1902	0.40536277602523657
YKR104W_mRNA	313	273	158	177	335	921	0.36373507057546145
YNR038W_mRNA	648	515	388	339	727	1890	0.38465608465608464
YDR003W-A_mRNA	45	39	12	27	39	123	0.3170731707317073
YOR339C_mRNA	151	129	83	108	191	471	0.40552016985138006
YJR023C_mRNA	101	173	66	62	128	402	0.31840796019900497
YDL105W_mRNA	448	311	211	239	450	1209	0.37220843672456577
YLR457C_mRNA	369	222	168	201	369	960	0.384375
YHR077C_mRNA	1219	881	509	661	1170	3270	0.3577981651376147
YFL047W_mRNA	708	606	378	453	831	2145	0.38741258741258744
YMR242C_mRNA	162	140	117	99	216	518	0.416988416988417
YML053C_mRNA	250	154	144	91	235	639	0.3677621283255086
YCL008C_mRNA	336	261	329	232	561	1158	0.4844559585492228
YMR300C_mRNA	468	456	257	352	609	1533	0.3972602739726027
YPL183C_mRNA	969	941	509	623	1132	3042	0.37212360289283364
YMR094W_mRNA	522	415	227	273	500	1437	0.34794711203897005
YFR017C_mRNA	172	113	172	131	303	588	0.5153061224489796
YLR027C_mRNA	348	332	303	274	577	1257	0.4590294351630867
YJL079C_mRNA	205	242	268	185	453	900	0.5033333333333333
YGR061C_mRNA	1214	1202	777	884	1661	4077	0.4074074074074074
YDR416W_mRNA	888	739	409	544	953	2580	0.3693798449612403
YPL219W_mRNA	506	385	298	290	588	1479	0.3975659229208925
YOL132W_mRNA	452	425	239	300	539	1416	0.3806497175141243
YER074W_mRNA	124	104	80	100	180	408	0.4411764705882353
YGR271W_mRNA	1937	1757	1009	1201	2210	5904	0.3743224932249323
YDR469W_mRNA	211	123	90	104	194	528	0.36742424242424243
YML060W_mRNA	381	296	208	246	454	1131	0.40141467727674623
YNL028W_mRNA	98	93	74	53	127	318	0.39937106918238996
YIL142C-A_mRNA	72	114	91	56	147	333	0.44144144144144143
YDR368W_mRNA	284	278	172	205	377	939	0.4014909478168264
YHR085W_mRNA	359	257	184	205	389	1005	0.3870646766169154
YIL071C_mRNA	468	417	192	258	450	1335	0.33707865168539325
YPL200W_mRNA	159	147	73	92	165	471	0.3503184713375796
YLR286C_mRNA	484	515	388	302	690	1689	0.40852575488454707
YNL084C_mRNA	398	284	166	202	368	1050	0.3504761904761905
YDR316W_mRNA	555	362	191	308	499	1416	0.3524011299435028
YFL055W_mRNA	415	546	327	389	716	1677	0.42695289206917114
YGR002C_mRNA	521	353	286	271	557	1431	0.38923829489867223
YNR027W_mRNA	291	244	200	219	419	954	0.4392033542976939
YDL217C_mRNA	184	171	112	157	269	624	0.4310897435897436
YIR014W_mRNA	228	198	144	159	303	729	0.4156378600823045
YKR096W_mRNA	1258	987	658	685	1343	3588	0.3743032329988852
YDR246W_mRNA	237	143	155	125	280	660	0.42424242424242425
YHR197W_mRNA	769	697	400	426	826	2292	0.36038394415357766
YGL250W_mRNA	239	192	128	167	295	726	0.40633608815426997
YJL148W_mRNA	272	167	112	151	263	702	0.37464387464387466
YDL033C_mRNA	375	307	278	294	572	1254	0.45614035087719296
YMR168C_mRNA	598	554	333	342	675	1827	0.3694581280788177
YHR113W_mRNA	432	414	294	333	627	1473	0.4256619144602851
YHR040W_mRNA	358	222	215	306	521	1101	0.4732061762034514
YGR146C_mRNA	208	184	149	95	244	636	0.3836477987421384
YDR061W_mRNA	527	434	287	372	659	1620	0.4067901234567901
YDR343C_mRNA	396	609	317	391	708	1713	0.4133099824868651
YDL148C_mRNA	937	611	388	497	885	2433	0.3637484586929716
YDR522C_mRNA	556	437	229	287	516	1509	0.341948310139165
YMR141W-A_mRNA	61	79	51	34	85	225	0.37777777777777777
YOR368W_mRNA	430	343	191	242	433	1206	0.35903814262023215
YNL086W_mRNA	88	74	75	72	147	309	0.47572815533980584
YGR131W_mRNA	142	176	98	109	207	525	0.3942857142857143
YBR164C_mRNA	176	164	83	129	212	552	0.38405797101449274
YLR453C_mRNA	427	349	203	209	412	1188	0.3468013468013468
YBR165W_mRNA	283	237	163	151	314	834	0.3764988009592326
YKL196C_mRNA	204	163	97	139	236	603	0.3913764510779436
YEL019C_mRNA	288	198	182	136	318	804	0.39552238805970147
YML087C_mRNA	290	277	164	208	372	939	0.3961661341853035
YBR196C_mRNA	452	492	372	349	721	1665	0.43303303303303303
YML084W_mRNA	88	124	44	53	97	309	0.313915857605178
YER088C_mRNA	591	509	558	355	913	2013	0.453551912568306
YFR024C-A_mRNA	386	384	263	347	610	1380	0.4420289855072464
YLR307W_mRNA	286	261	163	196	359	906	0.39624724061810157
YJR109C_mRNA	1030	1018	603	706	1309	3357	0.38993148644623177
YJR160C_mRNA	534	541	326	408	734	1809	0.40574903261470424
YKR037C_mRNA	306	224	168	190	358	888	0.40315315315315314
YIR001C_mRNA	290	166	166	131	297	753	0.3944223107569721
YBR086C_mRNA	892	870	592	487	1079	2841	0.37979584653291093
YCL018W_mRNA	302	311	232	250	482	1095	0.44018264840182647
YJL115W_mRNA	288	190	123	239	362	840	0.430952380952381
YER169W_mRNA	805	612	527	447	974	2391	0.40736093684650776
YPL184C_mRNA	591	543	348	357	705	1839	0.3833605220228385
YDR027C_mRNA	941	733	458	538	996	2670	0.37303370786516854
YNR030W_mRNA	453	555	331	317	648	1656	0.391304347826087
YKL195W_mRNA	462	250	223	277	500	1212	0.41254125412541254
YOR373W_mRNA	843	645	591	477	1068	2556	0.41784037558685444
YAR014C_mRNA	724	519	385	502	887	2130	0.4164319248826291
YDL042C_mRNA	557	462	350	320	670	1689	0.39668442865600945
YLR349W_mRNA	137	125	142	103	245	507	0.4832347140039448
YHR119W_mRNA	1159	858	593	633	1226	3243	0.3780450200431699
YBL026W_mRNA	110	79	45	54	99	288	0.34375
YOR252W_mRNA	204	125	84	124	208	537	0.38733705772811916
YPL141C_mRNA	945	633	559	461	1020	2598	0.39260969976905313
YOR317W_mRNA	647	608	381	467	848	2103	0.4032334759866857
YPR020W_mRNA	122	105	55	66	121	348	0.34770114942528735
YHL009C_mRNA	374	247	180	192	372	993	0.37462235649546827
YPR204C-A_mRNA	111	153	140	79	219	483	0.453416149068323
YOL077W-A_mRNA	78	47	42	40	82	207	0.3961352657004831
YDL244W_mRNA	301	273	222	227	449	1023	0.4389051808406647
YDR426C_mRNA	101	156	53	68	121	378	0.3201058201058201
YHL025W_mRNA	314	195	231	259	490	999	0.4904904904904905
YJR024C_mRNA	218	194	155	168	323	735	0.43945578231292515
YKL019W_mRNA	275	244	220	212	432	951	0.45425867507886436
YBR122C_mRNA	185	136	88	125	213	534	0.398876404494382
YMR025W_mRNA	353	246	138	151	289	888	0.32545045045045046
YLR089C_mRNA	548	509	364	358	722	1779	0.4058459808881394
YPL011C_mRNA	385	272	194	211	405	1062	0.3813559322033898
YDL018C_mRNA	230	189	119	140	259	678	0.38200589970501475
YDR160W_mRNA	784	785	461	529	990	2559	0.38686987104337633
YKL140W_mRNA	526	504	322	295	617	1647	0.37462052216150576
YGR075C_mRNA	259	217	113	140	253	729	0.34705075445816186
YDR182W-A_mRNA	65	63	36	40	76	204	0.37254901960784315
YBR185C_mRNA	268	255	156	158	314	837	0.3751493428912784
YOR387C_mRNA	153	203	145	120	265	621	0.42673107890499196
YPL051W_mRNA	221	155	85	136	221	597	0.37018425460636517
YPR140W_mRNA	369	318	220	239	459	1146	0.4005235602094241
YDR261C_mRNA	532	482	347	328	675	1689	0.3996447602131439
YPL152W-A_mRNA	29	30	22	18	40	99	0.40404040404040403
YDL035C_mRNA	1019	813	527	527	1054	2886	0.3652113652113652
YIL002W-A_mRNA	80	48	32	50	82	210	0.3904761904761905
YAR008W_mRNA	267	236	136	189	325	828	0.392512077294686
YMR111C_mRNA	508	306	276	299	575	1389	0.413966882649388
YLR415C_mRNA	77	84	97	81	178	339	0.5250737463126843
YEL014C_mRNA	80	122	58	46	104	306	0.33986928104575165
YOL058W_mRNA	363	344	268	288	556	1263	0.440221694378464
YJL063C_mRNA	210	158	167	182	349	717	0.48675034867503486
YGR023W_mRNA	466	499	469	222	691	1656	0.4172705314009662
YPL016W_mRNA	1471	1084	811	579	1390	3945	0.3523447401774398
YPL117C_mRNA	300	246	146	175	321	867	0.370242214532872
YOR168W_mRNA	819	692	409	510	919	2430	0.37818930041152266
YJL001W_mRNA	196	186	114	152	266	648	0.4104938271604938
YKL132C_mRNA	409	366	239	279	518	1293	0.4006187161639598
YPR159W_mRNA	611	658	440	454	894	2163	0.4133148404993065
YGR122C-A_mRNA	33	53	28	15	43	129	0.3333333333333333
YDR393W_mRNA	520	337	239	275	514	1371	0.37490882567469
YLR292C_mRNA	201	156	100	125	225	582	0.3865979381443299
YIL017C_mRNA	923	802	466	575	1041	2766	0.37635574837310193
YPL235W_mRNA	466	392	238	320	558	1416	0.3940677966101695
YNR069C_mRNA	482	400	280	308	588	1470	0.4
YIL086C_mRNA	106	94	58	51	109	309	0.35275080906148865
YNL294C_mRNA	487	463	289	363	652	1602	0.4069912609238452
YIL047C-A_mRNA	98	105	84	82	166	369	0.44986449864498645
YDL202W_mRNA	259	184	147	160	307	750	0.4093333333333333
YBR223C_mRNA	530	405	346	354	700	1635	0.42813455657492355
YPL246C_mRNA	203	240	180	166	346	789	0.4385297845373891
YHR073W-A_mRNA	54	42	38	43	81	177	0.4576271186440678
YGL157W_mRNA	338	293	201	212	413	1044	0.3955938697318008
YOL063C_mRNA	913	835	548	578	1126	2874	0.3917884481558803
YGL003C_mRNA	524	459	345	373	718	1701	0.42210464432686656
YGR225W_mRNA	582	515	336	349	685	1782	0.38439955106621776
YDR133C_mRNA	98	101	84	53	137	336	0.40773809523809523
YJR125C_mRNA	414	311	237	265	502	1227	0.4091279543602282
YNR075C-A_mRNA	24	24	22	23	45	93	0.4838709677419355
YPL025C_mRNA	141	154	131	132	263	558	0.471326164874552
YER049W_mRNA	618	554	348	415	763	1935	0.3943152454780362
YCR054C_mRNA	559	523	290	320	610	1692	0.3605200945626478
YFL015C_mRNA	97	166	142	90	232	495	0.4686868686868687
YLL050C_mRNA	123	137	85	87	172	432	0.39814814814814814
YPR002C-A_mRNA	63	71	41	23	64	198	0.32323232323232326
YBR047W_mRNA	188	146	96	98	194	528	0.36742424242424243
YOL064C_mRNA	329	309	197	239	436	1074	0.4059590316573557
YMR062C_mRNA	411	381	246	288	534	1326	0.40271493212669685
YNL255C_mRNA	146	119	91	106	197	462	0.4264069264069264
YOL041C_mRNA	548	329	215	288	503	1380	0.3644927536231884
YOL146W_mRNA	195	162	107	121	228	585	0.38974358974358975
YGL219C_mRNA	462	364	304	250	554	1380	0.40144927536231884
YNL071W_mRNA	426	365	339	319	658	1449	0.45410628019323673
YBR030W_mRNA	539	449	305	366	671	1659	0.40446051838456903
YNL187W_mRNA	319	271	222	262	484	1074	0.4506517690875233
YJL050W_mRNA	1075	889	541	717	1258	3222	0.3904407200496586
YLR246W_mRNA	324	323	207	226	433	1080	0.4009259259259259
YFL058W_mRNA	300	270	225	228	453	1023	0.44281524926686217
YDR119W-A_mRNA	53	59	34	55	89	201	0.4427860696517413
YDL246C_mRNA	287	306	215	266	481	1074	0.4478584729981378
YNL258C_mRNA	816	639	364	446	810	2265	0.3576158940397351
YDL177C_mRNA	189	118	92	114	206	513	0.4015594541910331
YJR133W_mRNA	201	172	118	139	257	630	0.40793650793650793
YGL099W_mRNA	664	511	326	422	748	1923	0.3889755590223609
YOR217W_mRNA	894	669	459	564	1023	2586	0.39559164733178653
Q0032_mRNA	118	140	21	12	33	291	0.1134020618556701
YGR074W_mRNA	155	103	91	92	183	441	0.41496598639455784
YPR197C_mRNA	204	150	122	88	210	564	0.3723404255319149
YGR049W_mRNA	178	153	129	104	233	564	0.41312056737588654
YKR086W_mRNA	1119	865	597	635	1232	3216	0.38308457711442784
YDR032C_mRNA	148	170	126	153	279	597	0.46733668341708545
YER184C_mRNA	750	725	411	499	910	2385	0.38155136268343814
YPL188W_mRNA	395	364	243	243	486	1245	0.39036144578313253
YBR222C_mRNA	463	443	372	354	726	1632	0.44485294117647056
YMR007W_mRNA	119	104	70	88	158	381	0.4146981627296588
YPR191W_mRNA	322	305	230	250	480	1107	0.43360433604336046
YOR170W_mRNA	110	102	54	40	94	306	0.30718954248366015
YNL274C_mRNA	322	283	187	261	448	1053	0.4254510921177588
YGL097W_mRNA	432	377	283	357	640	1449	0.4416839199447895
YKR075W-A_mRNA	59	106	55	50	105	270	0.3888888888888889
